repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/001	0.0754072164103351	0.709012912512692	18	2	0.5	ILS
AJB/007/001	-0.531682352208049	0.0946986160747092	2.25	1	0	ILS
AJB/007/001	0.0754072164103351	0.401855764293701	13.5	0	-0.5	ILS
AJB/007/001	-1.44231670513563	-1.44108712502025	1.5	-1	-1	ILS
AJB/007/001	-0.835227136517241	-0.519615680363274	1.90476190476199	-1	-1	ILS
AJB/007/001	0.986041569337911	1.32332720895068	4.5	1	1	ILS
AJB/007/001	-1.74586148944482	-1.74824427323924	1	-1	-1	ILS
AJB/007/001	0.0754072164103351	0.0946986160747092	1	-1	-1	ILS
AJB/007/001	0.986041569337911	1.32332720895068	1	-1	-0.5	ILS
AJB/007/001	1.5931311379563	1.93764150538866	9	3	1	ILS
AJB/007/001	-0.228137567898857	-0.212458532144282	1	-1	-1	ILS
AJB/007/001	1.5931311379563	1.93764150538866	1.5	4	1.5	ILS
AJB/007/001	-1.74586148944482	-1.74824427323924	1	-1	-1	ILS
AJB/007/001	-0.531682352208049	-0.519615680363274	1	-1	-1	ILS
AJB/007/001	1.5931311379563	2.85911295004563	13.5	1	0.5	ILS
AJB/007/002	2.01445713876082	1.45280077940695	20.3174603174612	-0.5	-0.111111111111111	HGT
AJB/007/002	1.40559791677612	2.23869817437434	352	1.5	1.66666666666667	HGT
AJB/007/002	3.8410348047149	9.31177472908083	300797280	4	4.33333333333333	HGT
AJB/007/002	2.01445713876082	1.97673237605188	6	0	-0.111111111111111	HGT
AJB/007/002	2.01445713876082	4.5963903592765	340312.5	0	-0.111111111111111	HGT
AJB/007/002	1.10116830578377	3.54852716598665	147456	3	3	HGT
AJB/007/002	-0.116550138185619	2.76262977101926	55654.7619047643	0.5	0.777777777777778	HGT
AJB/007/002	2.92774597173786	5.12032195592143	54687.5	2.5	3	HGT
AJB/007/002	-1.02983897116266	-0.904891405495212	270.000000000012	-0.5	-0.111111111111111	HGT
AJB/007/002	1.71002752776847	1.97673237605188	432	0.5	2.11111111111111	HGT
