repn	predictor.dsgtailp	predictor.mdctailp	predictor.MDCscore	predictor.U1	predictor.U2	model.id
AJB/007/029/shallow_	-2.04358428456886	-2.25051006678439	1	-1	-1	ILS
AJB/007/029/shallow_	0.82230107636548	1.66106798908423	2.5	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	0.264075826274012	1	-1	-1	ILS
AJB/007/029/shallow_	-0.769857457486931	-0.0153226062880324	2.5	0.5	0.5	ILS
AJB/007/029/shallow_	1.14073278313596	1.38166955652219	4.5	-0.5	0	HGT
AJB/007/029/shallow_	-0.769857457486931	-0.853517903974165	5	-1	-1	ILS
AJB/007/029/shallow_	-0.132994043945967	1.66106798908423	16384	1.5	1.5	HGT
AJB/007/029/shallow_	-1.08828916425741	-1.13291633653621	1.90476190476199	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	1.10227112396014	2	-1	-0.5	ILS
AJB/007/029/shallow_	0.185437662824516	1.66106798908423	24.3902439024396	0	0	ILS
AJB/007/029/shallow_	0.82230107636548	1.38166955652219	2	-0.5	-0.5	ILS
AJB/007/029/shallow_	-0.451425750716449	-0.853517903974165	6	-1	-1	ILS
AJB/007/029/shallow_	-1.4067208710279	-1.13291633653621	1.90476190476199	-0.5	-0.5	ILS
AJB/007/029/shallow_	0.503869369594998	0.822872691398101	3.80952380952397	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	0.543474258836056	4	0	0	ILS
AJB/007/029/shallow_	0.503869369594998	1.66106798908423	2.37037037037037	-1	-0.5	ILS
AJB/007/029/shallow_	-0.769857457486931	1.10227112396014	29184	0	0	HGT
AJB/007/029/shallow_	1.77759619667693	2.21986485420832	36	-1	0	HGT
AJB/007/029/shallow_	0.82230107636548	3.05806015189446	303.819444444444	0	0.5	ILS
AJB/007/029/shallow_	-1.72515257779838	-1.41231476909825	1	-1	-1	ILS
AJB/007/029/shallow_	0.503869369594998	0.543474258836056	1	0	0.5	ILS
